id,sample,species,sieve,abundance,biomass,trophic.level,richness,mlO2.mg.h
677,mono4-2,Macroalgae,NA,2,3449.4,Primary producer,1,NA
678,mono4-3,Macroalgae,NA,3,3915.1,Primary producer,1,NA
679,mono4-4,Macroalgae,NA,2,2815.4,Primary producer,1,NA
680,mono4-5,Macroalgae,NA,2,3943,Primary producer,1,NA
681,mono4-6,Macroalgae,NA,2,3534.7,Primary producer,1,NA
682,mono5-1,Macroalgae,NA,3,4550.3,Primary producer,1,NA
683,mono5-1,Hippolyte pleuracanthus,NA,1,53.9,Herbivore,1,NA
684,mono5-2,Macroalgae,NA,2,4395.3,Primary producer,1,NA
685,mono5-2,Hippolyte pleuracanthus,NA,1,72.5,Herbivore,1,NA
686,mono5-3,Macroalgae,NA,3,2962.2,Primary producer,1,NA
687,mono5-3,Hippolyte pleuracanthus,NA,1,48.7,Herbivore,1,NA
688,mono5-4,Macroalgae,NA,2,3280.4,Primary producer,1,NA
689,mono5-5,Macroalgae,NA,2,3600.2,Primary producer,1,NA
690,mono5-5,Hippolyte pleuracanthus,NA,1,48.3,Herbivore,1,NA
691,mono5-6,Macroalgae,NA,2,3649.3,Primary producer,1,NA
692,mono5-6,Hippolyte pleuracanthus,NA,1,38.3,Herbivore,1,NA
693,mono6-1,Macroalgae,NA,3,5059.5,Primary producer,1,NA
694,mono6-1,Palaemonetes spp.,NA,1,98.9,Predator,1,NA
695,mono6-2,Macroalgae,NA,2,3889.3,Primary producer,1,NA
696,mono6-2,Palaemonetes spp.,NA,1,51.7,Predator,1,NA
697,mono6-3,Macroalgae,NA,2,1259.2,Primary producer,1,NA
698,mono6-3,Palaemonetes spp.,NA,1,174.7,Predator,1,NA
699,mono6-4,Macroalgae,NA,2,3821.5,Primary producer,1,NA
700,mono6-4,Palaemonetes spp.,NA,1,145.1,Predator,1,NA
701,mono6-5,Macroalgae,NA,2,3569.6,Primary producer,1,NA
702,mono6-5,Palaemonetes spp.,NA,1,92.1,Predator,1,NA
703,mono6-6,Macroalgae,NA,2,5391.8,Primary producer,1,NA
704,mono6-6,Palaemonetes spp.,NA,1,103.9,Predator,1,NA
705,mono7-1,Macroalgae,NA,1,4569.2,Primary producer,1,NA
706,mono7-1,Callinectes sapidus,NA,1,1164.9,Predator,1,NA
707,mono7-1,Hippolyte pleuracanthus,NA,1,25.1,Herbivore,1,NA
708,mono7-2,Macroalgae,NA,4,4939.5,Primary producer,1,NA
709,mono7-3,Macroalgae,NA,3,6796.1,Primary producer,1,NA
710,mono7-4,Macroalgae,NA,3,3188.2,Primary producer,1,NA
711,mono7-4,Callinectes sapidus,NA,1,28.7,Predator,1,NA
712,mono7-5,Macroalgae,NA,2,3619.4,Primary producer,1,NA
713,mono7-5,Callinectes sapidus,NA,1,51.4,Predator,1,NA
714,mono7-6,Macroalgae,NA,2,4543.2,Primary producer,1,NA
715,mono8-1,Macroalgae,NA,2,3403.4,Primary producer,1,NA
716,mono8-1,Syngnathus spp.,NA,1,77.3,Predator,1,NA
717,mono8-2,Macroalgae,NA,3,3871,Primary producer,1,NA
718,mono8-2,Syngnathus spp.,NA,1,111.2,Predator,1,NA
719,mono8-3,Macroalgae,NA,2,3524.4,Primary producer,1,NA
720,mono8-4,Macroalgae,NA,3,2729.6,Primary producer,1,NA
721,mono8-4,Syngnathus spp.,NA,1,78.9,Predator,1,NA
722,mono8-5,Macroalgae,NA,2,4131.9,Primary producer,1,NA
723,mono8-6,Macroalgae,NA,2,4366.1,Primary producer,1,NA
724,mono8-6,Syngnathus spp.,NA,1,192.7,Predator,1,NA
725,mono9-1,Macroalgae,NA,3,3143.1,Primary producer,1,NA
726,mono9-1,Fundulus heteroclitus,NA,1,448.7,Predator,1,NA
727,mono9-2,Macroalgae,NA,3,4195.1,Primary producer,1,NA
728,mono9-2,Fundulus heteroclitus,NA,1,713.4,Predator,1,NA
729,mono9-3,Macroalgae,NA,2,3814.2,Primary producer,1,NA
730,mono9-3,Fundulus heteroclitus,NA,1,599.3,Predator,1,NA
731,mono9-4,Macroalgae,NA,3,2589.9,Primary producer,1,NA
732,mono9-4,Fundulus heteroclitus,NA,1,680.5,Predator,1,NA
733,mono9-5,Macroalgae,NA,2,3842.9,Primary producer,1,NA
734,mono9-5,Fundulus heteroclitus,NA,1,823.5,Predator,1,NA
735,mono9-6,Macroalgae,NA,2,3946.8,Primary producer,1,NA
736,mono9-6,Fundulus heteroclitus,NA,1,530.3,Predator,1,NA
737,poly-1,Macroalgae,NA,2,8646.1,Primary producer,9,NA
738,poly-1,Callinectes sapidus,NA,1,2357.2,Predator,9,NA
739,poly-1,Fundulus heteroclitus,NA,1,1042.8,Predator,9,NA
740,poly-2,Macroalgae,NA,2,2801.4,Primary producer,9,NA
741,poly-2,Fundulus heteroclitus,NA,1,827.8,Predator,9,NA
742,poly-2,Syngnathus spp.,NA,1,87.4,Predator,9,NA
743,poly-3,Macroalgae,NA,3,3077,Primary producer,9,NA
744,poly-3,Callinectes sapidus,NA,1,71.7,Predator,9,NA
745,poly-3,Fundulus heteroclitus,NA,1,951.3,Predator,9,NA
746,poly-3,Syngnathus spp.,NA,1,140.4,Predator,9,NA
747,poly-4,Macroalgae,NA,3,6046.1,Primary producer,9,NA
748,poly-4,Callinectes sapidus,NA,1,1011.2,Predator,9,NA
749,poly-4,Palaemonetes spp.,NA,1,65.1,Predator,9,NA
750,poly-4,Fundulus heteroclitus,NA,1,677.2,Predator,9,NA
751,poly-6,Macroalgae,NA,2,1284.7,Primary producer,9,NA
752,poly-6,Fundulus heteroclitus,NA,1,542.5,Predator,9,NA
